"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 16 01:46:06 GMT 2024","Mon Dec 16 01:46:06 GMT 2024","747","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Mon Dec 16 01:48:01 GMT 2024","Mon Dec 16 01:48:02 GMT 2024","1020","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"broken","Mon Dec 16 01:48:12 GMT 2024","Mon Dec 16 01:48:17 GMT 2024","5098","tests_ui","Test Profile Page.","TestProfilePage","","","test_open_static_site_page",""
"passed","Mon Dec 16 01:47:46 GMT 2024","Mon Dec 16 01:47:46 GMT 2024","0","tests_api","Test Static webpages","TestStaticWebPages","","","POST get token and other params.",""
"passed","Mon Dec 16 01:48:07 GMT 2024","Mon Dec 16 01:48:08 GMT 2024","666","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"failed","Mon Dec 16 01:48:33 GMT 2024","Mon Dec 16 01:48:37 GMT 2024","3300","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"passed","Mon Dec 16 01:45:25 GMT 2024","Mon Dec 16 01:45:25 GMT 2024","360","tests_api","GET","TestGET","","","GET list list_regions.",""
"failed","Mon Dec 16 01:45:36 GMT 2024","Mon Dec 16 01:45:36 GMT 2024","367","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
"skipped","Mon Dec 16 01:45:38 GMT 2024","Mon Dec 16 01:45:39 GMT 2024","730","tests_api","POST","TestPOST","","","POST db_list_with_filter",""
"passed","Mon Dec 16 01:48:09 GMT 2024","Mon Dec 16 01:48:10 GMT 2024","762","tests_ui","Test Login Page.","TestLoginPage","","","test_login",""
"passed","Mon Dec 16 01:45:21 GMT 2024","Mon Dec 16 01:45:21 GMT 2024","0","tests_api","Test Connection DB","TestFull","","","Get token.",""
"passed","Mon Dec 16 01:47:43 GMT 2024","Mon Dec 16 01:47:43 GMT 2024","371","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"passed","Mon Dec 16 01:45:28 GMT 2024","Mon Dec 16 01:45:28 GMT 2024","371","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"failed","Mon Dec 16 01:47:46 GMT 2024","Mon Dec 16 01:47:46 GMT 2024","353","tests_api","Test Static webpages","TestStaticWebPages","","","POST check static webpages without toke.",""
"passed","Mon Dec 16 01:45:28 GMT 2024","Mon Dec 16 01:45:28 GMT 2024","358","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
