"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 15:58:18 GMT 2024","Tue Jan 30 15:58:18 GMT 2024","391","tests","REQUESTS GET","GET","","","List regions",""
"passed","Tue Jan 30 15:58:19 GMT 2024","Tue Jan 30 15:58:19 GMT 2024","365","tests","REQUESTS POST","POST","","","Post login",""
"passed","Tue Jan 30 15:58:19 GMT 2024","Tue Jan 30 15:58:19 GMT 2024","379","tests","REQUESTS POST","POST","","","Post registration email is taken",""
"passed","Tue Jan 30 15:58:17 GMT 2024","Tue Jan 30 15:58:18 GMT 2024","394","tests","REQUESTS GET","GET","","","List envs",""
"passed","Tue Jan 30 15:58:17 GMT 2024","Tue Jan 30 15:58:17 GMT 2024","374","tests","REQUESTS GET","GET","","","List dbversions",""
"skipped","Tue Jan 30 15:58:18 GMT 2024","Tue Jan 30 15:58:19 GMT 2024","374","tests","REQUESTS POST","POST","","","Post registration",""
"passed","Tue Jan 30 15:58:16 GMT 2024","Tue Jan 30 15:58:17 GMT 2024","508","tests","REQUESTS GET","GET","","","List dbtypes",""
"passed","Tue Jan 30 15:58:16 GMT 2024","Tue Jan 30 15:58:16 GMT 2024","410","tests","REQUESTS GET","GET","","","test tos",""
"passed","Tue Jan 30 15:59:17 GMT 2024","Tue Jan 30 16:00:19 GMT 2024","62126","tests","test_bd","TestLoadDB","","","test_create_table",""
"passed","Tue Jan 30 15:58:19 GMT 2024","Tue Jan 30 15:58:20 GMT 2024","378","tests","REQUESTS POST","POST","","","Post db list",""
"passed","Tue Jan 30 15:58:20 GMT 2024","Tue Jan 30 15:59:17 GMT 2024","57038","tests","Test Connection DB","Complex","","","test_complex",""
"passed","Tue Jan 30 15:58:20 GMT 2024","Tue Jan 30 15:58:20 GMT 2024","383","tests","REQUESTS POST","DELETE","","","delete db",""
